Distance (mm),T (C),P (atm),He,Ar,Ne,O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),X(1),HX(9),OX(10),HOX(13),H2OX(14),N2X2(25),N2X(26),NOX(27),H2NX(28),H3NX(29),HNX(49),NX(59),NOX2(76),gas_heat,surface_heat,alpha
2.5690909090909093,415.0,1.0000000000000002,0.10799999949382603,0.0,0.0,0.8799999724416383,0.001000028116093919,3.4778251133317766e-15,1.8747180188188304e-08,0.010999981201258084,0.0,3.830880266289591e-06,2.4446522510069866e-16,0.9999779017569643,7.788543774724866e-11,2.4311409813727907e-12,4.324487309068199e-23,5.614186051145673e-20,1.8232606878408415e-05,3.464346837794607e-08,4.896396907363189e-13,2.7020337868355552e-14,5.015252282274873e-12,2.6757444026683167e-11,1,-2.7948242498529625,1.5571576158957754
2.5772727272727276,415.0,1.0000000000000002,0.10799999949221403,0.0,0.0,0.879999972353873,0.00100002820563546,3.4890079037389138e-15,1.880688447705759e-08,0.010999981141389586,0.0,3.830880245382622e-06,2.4446523240342876e-16,0.9999779012017317,7.788544053117446e-11,2.4311411857735844e-12,4.324750993690714e-23,5.614759478635185e-20,1.8233162131497138e-05,3.464346816979983e-08,4.896396853992608e-13,2.7020337576393855e-14,5.0154049905802484e-12,2.6758258744320527e-11,1,-2.7948242101699545,1.5571576282143578
2.585454545454546,415.0,1.0000000000000004,0.10799999949060199,0.0,0.0,0.8799999722661075,0.0010000282951769994,3.5001913751495285e-15,1.8866588765251953e-08,0.010999981081521084,0.0,3.830880224230643e-06,2.4446523968254425e-16,0.999977900646503,7.788544331260531e-11,2.4311413900188672e-12,4.325014683845397e-23,5.615332927551846e-20,1.8233717380449962e-05,3.464346796046476e-08,4.896396800308756e-13,2.7020337282686637e-14,5.015557697427459e-12,2.6759073454177378e-11,1,-2.7948241913471317,1.5571576340574256
2.5936363636363637,415.0,1.0000000000000002,0.10799999948899,0.0,0.0,0.8799999721783425,0.0010000283847185383,3.511375527581907e-15,1.8926293052766332e-08,0.01099998102165259,0.0,3.830880204706968e-06,2.444652471186611e-16,0.9999779000912465,7.788544611060955e-11,2.4311415952975786e-12,4.325278398716747e-23,5.615906422508903e-20,1.8234272656832213e-05,3.4643467759023644e-08,4.896396748705433e-13,2.702033700057009e-14,5.0157104139482794e-12,2.6759888215643682e-11,1,-2.7948241522321435,1.5571576461996814
2.601818181818182,415.0,1.0000000000000002,0.10799999948737797,0.0,0.0,0.879999972090577,0.0010000284742600761,3.522560361060594e-15,1.898599733960874e-08,0.010999980961784093,0.0,3.830880183149906e-06,2.4446525435876364e-16,0.9999778995360251,7.788544888791566e-11,2.4311417992858365e-12,4.325542100803921e-23,5.616479915396361e-20,1.8234827898930484e-05,3.464346754772712e-08,4.89639669450575e-13,2.7020336703987497e-14,5.015863118380293e-12,2.6760702912613592e-11,1,-2.794824177912764,1.5571576382277843
2.6100000000000003,415.0,1.0000000000000002,0.10799999948576597,0.0,0.0,0.8799999720028117,0.0010000285638016126,3.533745875599791e-15,1.9045701625765523e-08,0.0109999809019156,0.0,3.830880163170515e-06,2.444652617508759e-16,0.9999778989807759,7.788545168128153e-11,2.431142004275255e-12,4.325805827035227e-23,5.617053453588018e-20,1.8235383167610136e-05,3.4643467344072394e-08,4.89639664231776e-13,2.7020336418615625e-14,5.016015832178748e-12,2.6761517659553754e-11,1,-2.7948240910685453,1.5571576651863703
2.6181818181818186,415.0,1.0000000000000002,0.10799999948415394,0.0,0.0,0.8799999719150464,0.0010000286533431483,3.5449320712221978e-15,1.9105405911240862e-08,0.010999980842047103,0.0,3.830880142508708e-06,2.4446526907724694e-16,0.9999778984255391,7.788545446770097e-11,2.4311422088316274e-12,4.3260695543316416e-23,5.61762700747908e-20,1.823593842477383e-05,3.4643467137113096e-08,4.896396589260015e-13,2.70203361283966e-14,5.016168541919247e-12,2.6762332384843258e-11,1,-2.794824059694331,1.5571576749257003
2.626363636363637,415.0,1.0000000000000002,0.1079999994825419,0.0,0.0,0.8799999718272808,0.0010000287428846828,3.5561189479546904e-15,1.9165110196047657e-08,0.01099998078217861,0.0,3.830880122061993e-06,2.444652764243594e-16,0.9999778978702984,7.788545725630948e-11,2.43114241352445e-12,4.3263332918643973e-23,5.618200588834566e-20,1.823649368554932e-05,3.464346693119789e-08,4.896396536477491e-13,2.7020335839710508e-14,5.0163212529334095e-12,2.676314751572912e-11,1,-2.7975837752100166,1.5563023063462882
2.6345454545454547,415.0,1.0000000000000004,0.1079999994809299,0.0,0.0,0.8799999717395156,0.0010000288324262167,3.567306505812553e-15,1.922481448017454e-08,0.01099998072231012,0.0,3.830880101734305e-06,2.4446528378295315e-16,0.9999778973150558,7.788546004613363e-11,2.4311426182932604e-12,4.326597038644063e-23,5.618774196386717e-20,1.8237048948320547e-05,3.4643466725857874e-08,4.896396483846475e-13,2.702033555186885e-14,5.016473964650061e-12,2.6763961852757672e-11,1,-2.7948239842767415,1.557157698337182
2.642727272727273,415.0,1.0000000000000002,0.10799999947931788,0.0,0.0,0.8799999716517504,0.0010000289219677494,3.578494744819014e-15,1.9284518763626776e-08,0.010999980662441624,0.0,3.830880081007677e-06,2.4446529110306057e-16,0.9999778967598213,7.788546283188774e-11,2.431142822808113e-12,4.3268607893740696e-23,5.619347823338737e-20,1.8237604204355498e-05,3.4643466518584094e-08,4.8963964307059e-13,2.7020335261188388e-14,5.0166266739916154e-12,2.6764776575916185e-11,1,-2.794823964773909,1.5571577043913432
2.6509090909090913,415.0,1.0000000000000002,0.10799999947770589,0.0,0.0,0.8799999715639851,0.001000029011509281,3.589683664991142e-15,1.934422304639673e-08,0.010999980602573135,0.0,3.830880061116834e-06,2.44465298503775e-16,0.9999778962045706,7.788546562615112e-11,2.431143027853723e-12,4.3271245567148524e-23,5.619921485935905e-20,1.823815947446783e-05,3.464346631536296e-08,4.896396378633543e-13,2.7020334976458814e-14,5.016779388299192e-12,2.676559132556811e-11,1,-2.79482395201569,1.5571577083518096
2.6590909090909096,415.0,1.0000000000000002,0.10799999947609384,0.0,0.0,0.8799999714762197,0.0010000291010508118,3.600873266354358e-15,1.940392732849426e-08,0.010999980542704641,0.0,3.830880039729781e-06,2.4446530576020574e-16,0.9999778956493462,7.788546840519034e-11,2.4311432319498325e-12,4.327388316712943e-23,5.620495153445696e-20,1.823871471934284e-05,3.464346610488717e-08,4.896396324648844e-13,2.702033468107584e-14,5.01693209370075e-12,2.676640602770417e-11,1,-2.7948239018244414,1.557157723932414
2.667272727272728,415.0,1.0000000000000002,0.10799999947448186,0.0,0.0,0.8799999713884545,0.0010000291905923415,3.6120635489308914e-15,1.9463631609922554e-08,0.010999980482836152,0.0,3.830880019041385e-06,2.444653130840094e-16,0.9999778950941104,7.788547119133828e-11,2.431143436489302e-12,4.327652091905235e-23,5.621068854783206e-20,1.8239269975950927e-05,3.464346589779857e-08,4.896396271557015e-13,2.7020334390667022e-14,5.017084803244732e-12,2.676722075193977e-11,1,-2.794823870016101,1.5571577338065095
2.6754545454545458,415.0,1.0000000000000004,0.10799999947286981,0.0,0.0,0.879999971300689,0.0010000292801338698,3.623254512736449e-15,1.9523335890671112e-08,0.010999980422967659,0.0,3.830879997750328e-06,2.4446532034970313e-16,0.9999778945388851,7.788547397135234e-11,2.431143640646275e-12,4.3279158689818114e-23,5.621642572872368e-20,1.823982522245745e-05,3.4643465687787174e-08,4.896396217694806e-13,2.7020334095966647e-14,5.0172375092199255e-12,2.6768035457134585e-11,1,-2.7948238468823057,1.557157740987812
2.683636363636364,415.0,1.0000000000000002,0.10799999947125781,0.0,0.0,0.8799999712129237,0.0010000293696753974,3.634446157790286e-15,1.9583040170736878e-08,0.010999980363099172,0.0,3.8308799782101675e-06,2.4446532778422097e-16,0.9999778939836278,7.78854767691855e-11,2.4311438459144636e-12,4.3281796720298685e-23,5.622216338618185e-20,1.824038049843054e-05,3.4643465486267805e-08,4.896396166070912e-13,2.7020333813734956e-14,5.017390225591019e-12,2.676885021779192e-11,1,-2.794823807964975,1.5571577530687148
2.6918181818181823,415.0,1.0000000000000002,0.10799999946964581,0.0,0.0,0.8799999711251585,0.0010000294592169244,3.645638484116498e-15,1.9642744450126954e-08,0.010999980303230685,0.0,3.83087995741326e-06,2.444653350975581e-16,0.9999778934283937,7.788547955422846e-11,2.431144050385054e-12,4.328443470215498e-23,5.622790112460209e-20,1.8240935753203946e-05,3.4643465278653366e-08,4.896396112840481e-13,2.702033352255403e-14,5.017542934483718e-12,2.6769664938550186e-11,1,-2.794823775792835,1.557157763055744
2.7000000000000006,415.0,1.0000000000000002,0.10799999946803379,0.0,0.0,0.8799999710373932,0.0010000295487584499,3.656831491735985e-15,1.9702448728841716e-08,0.010999980243362196,0.0,3.83087993666162e-06,2.444653424152553e-16,0.9999778928731587,7.788548233972992e-11,2.431144254884202e-12,4.328707276898438e-23,5.623363911539877e-20,1.8241491008731192e-05,3.46434650712585e-08,4.896396059667944e-13,2.70203332316955e-14,5.017695643641705e-12,2.6770479660722845e-11,1,-2.79482374516132,1.5571577725645251
2.7081818181818185,415.0,1.0000000000000004,0.1079999994664218,0.0,0.0,0.879999970949628,0.0010000296382999744,3.668025180668141e-15,1.9762153006878405e-08,0.010999980183493711,0.0,3.830879916047011e-06,2.4446534974616375e-16,0.9999778923179216,7.7885485126622e-11,2.4311444594704266e-12,4.3289710930221004e-23,5.623937737069217e-20,1.824204626656631e-05,3.4643464864529535e-08,4.896396006670846e-13,2.7020332941813514e-14,5.0178483536120065e-12,2.677129438722729e-11,1,-2.7948237000564995,1.5571577865661796
2.7163636363636368,415.0,1.0000000000000004,0.10799999946480976,0.0,0.0,0.8799999708618627,0.0010000297278414982,3.6792195509359495e-15,1.982185728424177e-08,0.010999980123625222,0.0,3.830879895868284e-06,2.4446535711914205e-16,0.9999778917626756,7.788548791796999e-11,2.431144664334022e-12,4.32923492164093e-23,5.62451159296361e-20,1.8242601531714473e-05,3.4643464659911144e-08,4.896395954230246e-13,2.7020332655033112e-14,5.018001066164398e-12,2.6772109127508564e-11,1,-2.7948236786424805,1.5571577932136222
2.7245454545454546,415.0,1.0000000000000002,0.10799999946319774,0.0,0.0,0.8799999707740972,0.0010000298173830208,3.6904146025512234e-15,1.988156156091317e-08,0.010999980063756739,0.0,3.830879874893947e-06,2.444653644153475e-16,0.9999778912074453,7.788549070120024e-11,2.431144868691498e-12,4.329498750129631e-23,5.625085463029174e-20,1.8243156783449628e-05,3.4643464451436754e-08,4.896395900773102e-13,2.7020332362589182e-14,5.018153773982982e-12,2.6772923842532997e-11,1,-2.794823649541931,1.5571578022471548
2.732727272727273,415.0,1.0000000000000002,0.10799999946158574,0.0,0.0,0.8799999706863318,0.0010000299069245423,3.701610335546215e-15,1.9941265836916785e-08,0.010999980003888256,0.0,3.830879854477968e-06,2.444653717654132e-16,0.9999778906522032,7.788549349011898e-11,2.4311450734038106e-12,4.3297625923800027e-23,5.625659365088241e-20,1.8243712044585174e-05,3.4643464245669535e-08,4.89639584802957e-13,2.7020332074120523e-14,5.018306485117402e-12,2.6773738575246567e-11,1,-2.7948236180776824,1.5571578120144387
2.740909090909091,415.0,1.0000000000000002,0.1079999994599737,0.0,0.0,0.8799999705985666,0.0010000299964660626,3.712806749937665e-15,2.0000970112244285e-08,0.010999979944019772,0.0,3.83087983391218e-06,2.4446537910103354e-16,0.9999778900969645,7.788549627751302e-11,2.431145278021046e-12,4.330026441123824e-23,5.626233289816124e-20,1.8244267303183277e-05,3.4643464039175866e-08,4.896395795094561e-13,2.7020331784585192e-14,5.018459195356136e-12,2.6774553303180648e-11,1,-2.794823586739289,1.557157821742654
