Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25),N2X(26)
8.41484950578069e-05,0.05595639656,0.054,0.0,0.0,0.00048067924301485766,0.8614904081706586,0.007769024696694289,0.0021204884247382804,3.742965005517909e-08,0.060819943469360475,0.0,0.028313329172873724,1.5891883979780127e-07,7.472928337293894e-11,5.873643925002461e-07,3.068265998659602e-08,4.120829692302827e-09,2.6947272608307483e-09,1.1001081406080917e-06,3.958364611151611e-06,0.0009328271792952827,1.1859217829449506e-09,1.8863086510301432e-07
8.463645930761457e-05,0.05595639656,0.054,0.0,0.0,0.0004804938780595058,0.8614825013455457,0.007784652922663913,0.0021254784604630788,3.767564610471499e-08,0.06080952501836362,0.0,0.02831307622171939,1.5887020688697468e-07,7.467467249544087e-11,5.87034354593874e-07,3.06642311361741e-08,4.119597808424749e-09,2.6988003545820987e-09,1.1002098184768627e-06,3.958695109157344e-06,0.0009332649753701851,1.1863957057669442e-09,1.887815912277806e-07
8.512442355742224e-05,0.05595639656,0.054,0.0,0.0,0.00048031126470197516,0.8614746006456954,0.007800271636201997,0.0021304694014255944,3.792159863584879e-08,0.06079911290501098,0.0,0.02831282867955732,1.5882210663212193e-07,7.462078576275142e-11,5.86707859791431e-07,3.06460065247933e-08,4.118379703973032e-09,2.702881994345649e-09,1.1003076083169169e-06,3.9590123672630836e-06,0.0009336946376209484,1.1868704958448145e-09,1.8893161445692545e-07
8.561238780722991e-05,0.05595639656,0.054,0.0,0.0,0.00048013132582989644,0.8614667059794264,0.007815880943481164,0.0021354612124900975,3.8167505296862885e-08,0.06078870705863083,0.0,0.02831258648251847,1.587745245008757e-07,7.456760265129428e-11,5.863848099896496e-07,3.0627980468359974e-08,4.117175002821888e-09,2.7069718682535137e-09,1.1004015214836696e-06,3.9593164179664765e-06,0.0009341163070760808,1.1873459754380112e-09,1.8908093071595964e-07
8.610035205703758e-05,0.05595639656,0.054,0.0,0.0,0.0004799539866133001,0.8614588172576592,0.00783148094776643,0.0021404538586223963,3.8413363780162854e-08,0.06077830741048655,0.0,0.028312349566583718,1.5872744638332608e-07,7.451510326217655e-11,5.860651100088784e-07,3.061014745325306e-08,4.115983339777542e-09,2.7110696730359508e-09,1.1004915711562976e-06,3.959607300285779e-06,0.0009345301226127997,1.1878219749986657e-09,1.892295365087438e-07
8.658831630684525e-05,0.05595639656,0.054,0.0,0.0,0.0004797791744330479,0.8614509343938367,0.00784707174950126,0.0021454473049063805,3.8659171821598123e-08,0.06076791389371947,0.0,0.02831211786763151,1.5868085857903964e-07,7.446326830088299e-11,5.857486675007904e-07,3.0592502130895053e-08,4.114804360242394e-09,2.7151751137712257e-09,1.1005777722409552e-06,3.959885059418405e-06,0.0009349362209818177,1.1882983328629347e-09,1.8937742889168152e-07
8.707628055665292e-05,0.05595639656,0.054,0.0,0.0,0.0004796068188116972,0.8614430573038465,0.007862653446390925,0.0021504415165597055,3.8904927199790485e-08,0.060757526443293214,0.0,0.028311891321483245,1.5863474778450807e-07,7.441207905769307e-11,5.854353928592435e-07,3.057503931251061e-08,4.113637719890269e-09,2.7192879036434996e-09,1.100660141277676e-06,3.960149746412456e-06,0.0009353347368320239,1.188774894953376e-09,1.8952460544882962e-07
8.756424480646059e-05,0.05595639656,0.054,0.0,0.0,0.000479436851346701,0.8614351859059487,0.00787822613348321,0.002155436458948645,3.915062773547052e-08,0.060747144995940174,0.0,0.02831166986394632,1.585891010810116e-07,7.436151738879098e-11,5.851251991341732e-07,3.0557753964065715e-08,4.11248308435241e-09,2.723407763708379e-09,1.1007386963508344e-06,3.960401417850763e-06,0.0009357258027350511,1.1892515144919176e-09,1.8967106426789344e-07
8.805220905626826e-05,0.05595639656,0.054,0.0,0.0,0.00047926920564586014,0.8614273201207028,0.007893789903246611,0.002160432097602146,3.9396271290821524e-08,0.06073676949010931,0.0,0.028311453430855064,1.585439059228813e-07,7.43115656980416e-11,5.848180019484051e-07,3.054064120138031e-08,4.111340128913795e-09,2.7275344226659107e-09,1.1008134570030306e-06,3.960640135546997e-06,0.0009361095492097372,1.1897280517230404e-09,1.898168039170774e-07
8.854017330607593e-05,0.05595639656,0.054,0.0,0.0,0.0004791038172649415,0.8614194598708991,0.007909344845646085,0.002165428398225119,3.964185576883134e-08,0.06072639986591589,0.0,0.028311241958109534,1.5849915012614582e-07,7.426220691940598e-11,5.845137194172742e-07,3.052369628540807e-08,4.110208538219387e-09,2.731667616640723e-09,1.1008844441523088e-06,3.9608659662534704e-06,0.0009364861047464726,1.1902043736468002e-09,1.8996182342276517e-07
