Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13)
1.895245412634413e-10,0.05595639656,0.054,0.0,0.0,0.02970652920331634,0.8799880023432308,1.0525439466397092e-09,0.0,0.0,0.065995850430179,0.0,2.3992305398307663e-05,1.6228049025525663e-06,2.154257303337699e-06,2.2590083761632827e-06,2.677565422745832e-07,1.95559587199332e-09
1.9388376420441544e-10,0.05595639656,0.054,0.0,0.0,0.029705898892771115,0.8799877266645263,1.125689292893458e-09,0.0,0.0,0.06599578855784878,0.0,2.454352785772816e-05,1.6207730782380107e-06,2.171411254513371e-06,2.3132155953708857e-06,2.774534775804823e-07,2.0174003010565935e-09
1.9824298714538959e-10,0.05595639656,0.054,0.0,0.0,0.029705269615336965,0.879987450997597,1.2017047273119915e-09,0.0,0.0,0.06599572721523797,0.0,2.5094723642912523e-05,1.6183239155147274e-06,2.1880882347055803e-06,2.3673372530452825e-06,2.8712359344946274e-07,2.0794582546875056e-09
2.0260221008636373e-10,0.05595639656,0.054,0.0,0.0,0.02970464130110587,0.8799871753424243,1.280618962778346e-09,0.0,0.0,0.06599566636732095,0.0,2.5645892758920283e-05,1.6155016914550912e-06,2.204323117508853e-06,2.421368768835613e-06,2.9676221874486846e-07,2.1417735116574498e-09
2.0696143302733788e-10,0.05595639656,0.054,0.0,0.0,0.029704013885633755,0.8799868996989904,1.3624608540775334e-09,0.0,0.0,0.06599560598180014,0.0,2.6197035207906797e-05,1.6123468961342707e-06,2.220148043204044e-06,2.475306094275735e-06,3.063652094473377e-07,2.2043501179860165e-09
2.108847336742146e-10,0.05595639656,0.054,0.0,0.0,0.029703449930989886,0.8799866516299234,1.4386456994642511e-09,0.0,0.0,0.06599555200553582,0.0,2.6693040611338975e-05,1.609253864255566e-06,2.234064473465133e-06,2.523766201602136e-06,3.1497439829938585e-07,2.2608959915156985e-09
2.1480803432109135e-10,0.05595639656,0.054,0.0,0.0,0.029702886616216704,0.8799864035703403,1.5172467862752505e-09,0.0,0.0,0.06599549835962631,0.0,2.7189024412087267e-05,1.6059461450443461e-06,2.2476927723013067e-06,2.572144838168742e-06,3.235493904559369e-07,2.3176600836011333e-09
2.1873133496796808e-10,0.05595639656,0.054,0.0,0.0,0.029702323904227442,0.8799861555202309,1.598285594191414e-09,0.0,0.0,0.06599544502546624,0.0,2.7684986606670132e-05,1.6024464560666503e-06,2.2610514214770893e-06,2.6204399866144978e-06,3.32088091056973e-07,2.3746455163641075e-09
2.2265463561484482e-10,0.05595639656,0.054,0.0,0.0,0.02970176176063898,0.8799859074795852,1.681783773895552e-09,0.0,0.0,0.06599539198580029,0.0,2.8180927190276313e-05,1.5987756727826556e-06,2.2741575505159813e-06,2.6686498765815383e-06,3.405886503282668e-07,2.431855376655903e-09
2.2657793626172155e-10,0.05595639656,0.054,0.0,0.0,0.029701200153588077,0.8799856594483935,1.767763155296661e-09,0.0,0.0,0.06599533922463144,0.0,2.8676846156874167e-05,1.5949529607813523e-06,2.287027028652908e-06,2.7167729643372074e-06,3.4904944343328886e-07,2.4892926856676626e-09
