Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76)
3.0042514076921927e-10,0.05595639656,0.054,0.0,0.0,0.02969070250958561,0.8799809925798064,5.553036944402357e-09,0.0,0.0,0.06599438212605381,0.0,3.800572026797944e-05,1.5099096856964513e-06,2.4976205521777296e-06,3.6083641016309885e-06,4.963382346979026e-07,3.4577578917584005e-09,9.377181364530891e-11,3.246370981977776e-09,1.5553183019121772e-11
3.0432084852576304e-10,0.05595639656,0.054,0.0,0.0,0.02969015152346766,0.8799807464776982,5.772543444131137e-09,0.0,0.0,0.06599433313926341,0.0,3.849764455547128e-05,1.5053466555238945e-06,2.5076351694321307e-06,3.6544255003814328e-06,5.037239738938624e-07,3.5143406713640994e-09,9.69133482337682e-11,3.3483551301935274e-09,1.625166256312894e-11
3.082165562823068e-10,0.05595639656,0.054,0.0,0.0,0.029689600756850586,0.8799805003847909,5.997630882172174e-09,0.0,0.0,0.06599428426688345,0.0,3.8989544633104636e-05,1.500803056542048e-06,2.5175686793649935e-06,3.700398224937236e-06,5.110633191498176e-07,3.5710712244693266e-09,1.001151506131011e-10,3.451547097541299e-09,1.6968840796958195e-11
3.121122640388506e-10,0.05595639656,0.054,0.0,0.0,0.029689050203995926,0.879980254301081,6.228372726151583e-09,0.0,0.0,0.06599423550589664,0.0,3.948142043537639e-05,1.4962811591458385e-06,2.527423869132404e-06,3.7462826822393475e-06,5.183566266660995e-07,3.6279486152156024e-09,1.033775841134623e-10,3.5559304361045497e-09,1.7704861154393884e-11
3.1600797179539436e-10,0.05595639656,0.054,0.0,0.0,0.02968849985957902,0.8799800082265646,6.464842741055814e-09,0.0,0.0,0.06599418685349245,0.0,3.997327189640729e-05,1.4917829885693535e-06,2.5372033191717714e-06,3.792079298505745e-06,5.256042715626217e-07,3.68497181292617e-09,1.0670100416115956e-10,3.6614890626328666e-09,1.8459864766856753e-11
3.1990367955193814e-10,0.05595639656,0.054,0.0,0.0,0.029687949718656906,0.8799797621612384,6.707114974848803e-09,0.0,0.0,0.06599413830705074,0.0,4.046509894996405e-05,1.487310346024254e-06,2.5469094192641808e-06,3.837788516659535e-06,5.328066453386209e-07,3.742139697810883e-09,1.1008575813851978e-10,3.768207252166205e-09,1.9233990545919795e-11
3.237993873084819e-10,0.05595639656,0.054,0.0,0.0,0.029687399776638677,0.8799795161050988,6.95526374421454e-09,0.0,0.0,0.06599408986412732,0.0,4.0956901529480116e-05,1.4828648281301097e-06,2.5565443833605215e-06,3.883410793995345e-06,5.399641535688881e-07,3.799451066527092e-09,1.1353218526527476e-10,3.876069631332179e-09,2.002737526343202e-11
3.276950950650257e-10,0.05595639656,0.054,0.0,0.0,0.029686850029258124,0.8799792700581421,7.20936362044861e-09,0.0,0.0,0.06599404152244003,0.0,4.14486795680757e-05,1.478447844767813e-06,2.5661102632627225e-06,3.928946600063905e-06,5.470772138164932e-07,3.856904637576337e-09,1.1704061649912289e-10,3.985061171395271e-09,2.0840153624861702e-11
3.3159080282156946e-10,0.05595639656,0.054,0.0,0.0,0.029686300472548516,0.8799790240203653,7.469489415517626e-09,0.0,0.0,0.06599399327985636,0.0,4.194043299857685e-05,1.4740606354777976e-06,2.575608961245223e-06,3.974396414756384e-06,5.5414625374359e-07,3.914499056521522e-09,1.2061137445427778e-10,4.095167181119974e-09,2.1672458338865984e-11
3.3548651057811323e-10,0.05595639656,0.054,0.0,0.0,0.02968575110281931,0.8799787779917648,7.73571616830229e-09,0.0,0.0,0.06599394513438178,0.0,4.243216175353374e-05,1.469704284516162e-06,2.585042241695956e-06,4.019760726571391e-06,5.611717094033446e-07,3.9722329010152175e-09,1.2424477333693658e-10,4.206373299501952e-09,2.252442018578756e-11
3.39382218334657e-10,0.05595639656,0.054,0.0,0.0,0.02968520191663471,0.8799785319723374,8.008119131037527e-09,0.0,0.0,0.06599389708414893,0.0,4.292386576523814e-05,1.4653797346736709e-06,2.594411741850717e-06,4.065040031048963e-06,5.681540236973529e-07,4.030104685633168e-09,1.2794111889602614e-10,4.3186654884197135e-09,2.3396168081988274e-11
3.432779260912008e-10,0.05595639656,0.054,0.0,0.0,0.029684652910793866,0.8799782859620803,8.286773755960513e-09,0.0,0.0,0.06599384912740786,0.0,4.341554496574028e-05,1.4610877999549883e-06,2.6037189816896393e-06,4.110234829357127e-06,5.750936449841758e-07,4.088112866508534e-09,1.3170070838738883e-10,4.432030025249898e-09,2.4287829139715172e-11
3.4717363384774455e-10,0.05595639656,0.054,0.0,0.0,0.029684104082312642,0.8799780399609897,8.571755682174612e-09,0.0,0.0,0.06599380126251693,0.0,4.390719928686502e-05,1.4568291772082048e-06,2.6129653730595315e-06,4.155345627017687e-06,5.81991025825794e-07,4.146255845763726e-09,1.355238305499928e-10,4.54645349547989e-09,2.5199528725543447e-11
3.5106934160428833e-10,0.05595639656,0.054,0.0,0.0,0.029683555428406824,0.8799777939690632,8.863140722734857e-09,0.0,0.0,0.0659937534879344,0.0,4.43988286602273e-05,1.4526044567879763e-06,2.622152228081267e-06,4.200372932759168e-06,5.888466218598757e-07,4.204531975738966e-09,1.3941076559318749e-10,4.661922785349893e-09,2.6131390516712812e-11
3.549650493608321e-10,0.05595639656,0.054,0.0,0.0,0.0296830069464766,0.879977547986297,9.161004851959004e-09,0.0,0.0,0.06599370580221076,0.0,4.4890433017247254e-05,1.4484141323292671e-06,2.631280766897088e-06,4.245317257485623e-06,5.956608907867459e-07,4.262939563018905e-09,1.4336178519405034e-10,4.778425074552977e-09,2.7083536553638273e-11
3.588607571173759e-10,0.05595639656,0.054,0.0,0.0,0.029682458634092336,0.8799773020126889,9.465424192966733e-09,0.0,0.0,0.06599365820398156,0.0,4.5382012289164613e-05,1.4442586097028772e-06,2.6403521248086697e-06,4.29017911335116e-06,6.024342914608724e-07,4.321476872259984e-09,1.4737715250371352e-10,4.8959478290140395e-09,2.8056087290272347e-11
