Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27)
7.041806776080708e-12,0.05595639656,0.054,0.0,0.0,0.029735567960687805,0.8799995537683446,1.867910949888869e-15,0.0,2.535604201530248e-33,0.06599977864196943,0.0,8.924611296126644e-07,1.4542746474127007e-07,1.4550940717219648e-07,7.588850305869116e-08,4.2062485617383907e-11,2.179687298315893e-12,8.245136971672556e-18,2.993621668987784e-16,1.868379536039276e-20,4.6789444602531376e-21
8.075466488340821e-12,0.05595639656,0.054,0.0,0.0,0.029735383295648732,0.8799994882696489,3.5379473920978067e-15,0.0,7.698303002914767e-33,0.06599974624662472,0.0,1.0234575792614685e-06,1.6665807113715978e-07,1.6678171209366345e-07,8.703192071376842e-08,6.338286891424798e-11,3.1194452734413483e-12,1.8924158039430502e-17,5.919879449824963e-16,4.438008063553983e-20,1.2549382393418916e-20
9.109126200600935e-12,0.05595639656,0.054,0.0,0.0,0.0297351987054435,0.8799994227717717,6.1819024564493435e-15,0.0,2.0459477891820003e-32,0.06599971388922847,0.0,1.154452194324767e-06,1.87841270442065e-07,1.880187691199732e-07,9.817861792759438e-08,9.088210503944158e-11,4.2563280857736914e-12,3.8903751669433686e-17,1.0784014647071278e-15,9.477202970018063e-20,2.984318292634991e-20
1e-11,0.05595639656,0.054,0.0,0.0,0.029735039680540018,0.8799993663221839,9.501413618994567e-15,0.0,4.3710613589527757e-32,0.06599968603533538,0.0,1.2673502238316533e-06,2.0605576269834654e-07,2.0629060760882283e-07,1.0778877143697824e-07,1.2012879459539664e-10,5.398692425069924e-12,6.751585085174591e-17,1.716232436054224e-15,1.7033538657324496e-19,5.836083377033292e-20
1.0142785912861048e-11,0.05595639656,0.054,0.0,0.0,0.02973501419876403,0.8799993572747121,1.0140572802090609e-14,0.0,4.899718855845094e-32,0.06599968157412395,0.0,1.285444969531995e-06,2.0897118217451292e-07,2.0921622918502312e-07,1.0932936311989808e-07,1.2532893918031628e-10,5.5959680824782735e-12,7.33679294942235e-17,1.8417159924705e-15,1.8614104241685357e-19,6.458051228404518e-20
1.1176445625121162e-11,0.05595639656,0.054,0.0,0.0,0.02973482978422475,0.8799992917784702,1.5811111953478076e-14,0.0,1.0760450578637729e-31,0.06599964930561651,0.0,1.4164359013106426e-06,2.300419794136156e-07,2.3036978284215652e-07,1.204849167838668e-07,1.674843335551447e-10,7.142318379016156e-12,1.290863437368094e-16,2.985495358396634e-15,3.4173118318287007e-19,1.2936103554491364e-19
1.2210105337381276e-11,0.05595639656,0.054,0.0,0.0,0.029734645470353534,0.8799992262830454,2.364731788276716e-14,0.0,2.2051856200656747e-31,0.0659996170879689,0.0,1.5474249873376389e-06,2.5104789546128546e-07,2.514751645522323e-07,1.31646030525603e-07,2.1810050050011413e-10,8.89809977070593e-12,2.1458030309138363e-16,4.636231087948718e-15,5.935006931290513e-19,2.433596379693446e-19
1.324376504964139e-11,0.05595639656,0.054,0.0,0.0,0.029734461265584336,0.8799991607884371,3.415984714990452e-14,0.0,4.26518048027389e-31,0.06599958492539744,0.0,1.6784122262523396e-06,2.7198322925492234e-07,2.725281562467365e-07,1.4281344628513006e-07,2.779201179416852e-10,1.0865086408387604e-11,3.402369293948946e-16,6.9453262037841605e-15,9.841969370617822e-19,4.34433831991511e-19
1.4277424761901503e-11,0.05595639656,0.054,0.0,0.0,0.02973427717825002,0.8799990952946449,4.7915964675290696e-14,0.0,7.8503425504982105e-31,0.06599955282206825,0.0,1.809397617466481e-06,2.9284235049449854e-07,2.935245907869972e-07,1.5398789559985524e-07,3.4767558721469923e-10,1.3044295261320807e-11,5.183750948900561e-16,1.0090946379413245e-14,1.5693171353985452e-18,7.416026590109145e-19
1.5311084474161617e-11,0.05595639656,0.054,0.0,0.0,0.029734093216575396,0.8799990298016683,6.553928906130466e-14,0.0,1.3839021020633764e-30,0.06599952078209387,0.0,1.940381161019763e-06,3.136197046784416e-07,3.1446035540608924e-07,1.6517009888251836e-07,4.2808830509492907e-10,1.543612992771046e-11,7.632990700623622e-16,1.4279810368895984e-14,2.419431551627512e-18,1.2179525727336325e-18
