Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14)
7.105732337365329e-10,0.05595639656,0.054,0.0,0.0,0.029633545598983357,0.8799551324073175,7.325058339500317e-08,0.0,0.0,0.06598964848131299,0.0,8.965128257627038e-05,1.1961801727058331e-06,3.26823898321695e-06,8.04034160797477e-06,1.1149969063667787e-06,9.870574506413827e-09,7.816304630743393e-10
7.22273599173544e-10,0.05595639656,0.054,0.0,0.0,0.029631935893995983,0.879954396155703,7.69182432624443e-08,0.0,0.0,0.0659895230090882,0.0,9.111990155888075e-05,1.1909674522896546e-06,3.2836361767699014e-06,8.156930611625471e-06,1.1290928479277824e-06,1.0057097917776815e-08,8.116934663907195e-10
7.339739646105552e-10,0.05595639656,0.054,0.0,0.0,0.029630327239285013,0.8799536599846653,8.070364575851701e-08,0.0,0.0,0.06598939797480513,0.0,9.258824145969416e-05,1.1858997993370807e-06,3.2986999317043906e-06,8.273057765810314e-06,1.1430676297508535e-06,1.0243291476586203e-08,8.422720704525335e-10
7.456743300475663e-10,0.05595639656,0.054,0.0,0.0,0.02962871962913388,0.8799529238941478,8.460823338465726e-08,0.0,0.0,0.06598927337286946,0.0,9.405630099293813e-05,1.1809737398799282e-06,3.3134316995515745e-06,8.388728259774327e-06,1.1569251309332334e-06,1.0429120373977236e-08,8.733575258283874e-10
7.573746954845775e-10,0.05595639656,0.054,0.0,0.0,0.029627113057926886,0.8799521878840939,8.863341048991474e-08,0.0,0.0,0.06598914919780138,0.0,9.552407890996198e-05,1.1761859436707444e-06,3.3278329080061262e-06,8.503947146283165e-06,1.170669108720762e-06,1.0614550542698888e-08,9.049407918709166e-10
7.690750609215886e-10,0.05595639656,0.054,0.0,0.0,0.029625507520139437,0.879951451954448,9.278054258452381e-08,0.0,0.0,0.06598902544423169,0.0,9.699157399993091e-05,1.171533216367784e-06,3.341904965942444e-06,8.618719347743164e-06,1.1843032042437484e-06,1.0799548647382152e-08,9.370125482673697e-10
7.807754263585998e-10,0.05595639656,0.054,0.0,0.0,0.02962390301032888,0.8799507161051541,9.705095569254567e-08,0.0,0.0,0.06598890210689796,0.0,9.84587850904798e-05,1.1670124921807537e-06,3.355649268149052e-06,8.733049661972345e-06,1.1978309479209486e-06,1.098408207538642e-08,9.69563206624619e-10
7.924757917956109e-10,0.05595639656,0.054,0.0,0.0,0.02962229952312574,0.8799499803361569,1.0144593574363935e-07,0.0,0.0,0.0659887791806409,0.0,9.992571104832603e-05,1.1626208269503727e-06,3.369067199798587e-06,8.846942767645577e-06,1.21125576455392e-06,1.1168118928218662e-08,1.002582922128781e-09
8.04176157232622e-10,0.05595639656,0.054,0.0,0.0,0.029620697053225533,0.879949244647401,1.0596672800406902e-07,0.0,0.0,0.06598865666040082,0.0,0.00010139235077984192,1.158355391636168e-06,3.382160140668238e-06,8.960403229435082e-06,1.224580978132025e-06,1.1351628013492934e-08,1.036061605238691e-09
8.158765226696332e-10,0.05595639656,0.054,0.0,0.0,0.029619095595380954,0.8799485090388317,1.1061453654700718e-07,0.0,0.0,0.06598853454121463,0.0,0.00010285870323158651,1.1542134661906957e-06,3.3949294691263756e-06,9.073435502865866e-06,1.2378098163668594e-06,1.153457883738311e-08,1.0699889333849092e-09
8.275768881066443e-10,0.05595639656,0.054,0.0,0.0,0.029617495144394528,0.8799477735103944,1.1539052376210161e-07,0.0,0.0,0.06598841281821237,0.0,0.00010432476739079662,1.1501924337996535e-06,3.4073765659001404e-06,9.186043938904578e-06,1.2509454149737448e-06,1.171694159754088e-08,1.1043543626933818e-09
8.392772535436555e-10,0.05595639656,0.054,0.0,0.0,0.029615895695111593,0.8799470380620348,1.2029580990426887e-07,0.0,0.0,0.06598829148661454,0.0,0.00010579054228583787,1.1462897754663365e-06,3.4195028176356906e-06,9.298232788299028e-06,1.263990821716851e-06,1.1898687176455344e-08,1.1391471397413109e-09
8.509776189806666e-10,0.05595639656,0.054,0.0,0.0,0.029614297242413705,0.8799463026936983,1.2533147268168626e-07,0.0,0.0,0.0659881705417292,0.0,0.00010725602698661504,1.1425030649182347e-06,3.4313096202598268e-06,9.410006205684553e-06,1.2769490002333498e-06,1.2079787135227579e-08,1.1743563133180236e-09
