Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49),HOX(13),H2OX(14),NX(59),NOX2(76),NOX(27),N2X2(25)
3.21918172273682e-09,0.05595639656,0.054,0.0,0.0,0.02930378026866921,0.8797990527037611,3.4103270311945055e-06,1.5143374144496728e-10,2.237978631402941e-17,0.06596803060656849,0.0,0.00039839118283840924,1.3348117930869048e-06,2.638493653083132e-06,2.6695682247728226e-05,3.6487742102836374e-06,2.9413985007958553e-08,7.08702719753764e-09,2.3292977108949125e-07,1.1754697914012371e-08,4.48268977183696e-08,1.554730897030228e-10
3.2422782265437564e-09,0.05595639656,0.054,0.0,0.0,0.029300824851763517,0.8797976318292459,3.455323436425434e-06,1.5713762578214637e-10,2.3008972651238555e-17,0.06596785937543904,0.0,0.00040118659098525974,1.338862220212615e-06,2.6269282532844016e-06,2.6827965070179884e-05,3.678962031015741e-06,2.947891475424579e-08,7.118979978010699e-09,2.3637086898759747e-07,1.2012252362571892e-08,4.581693867548849e-08,1.604521165661494e-10
3.2653747303506928e-09,0.05595639656,0.054,0.0,0.0,0.029297870381619316,0.879796211243582,3.50047227507303e-06,1.630237211895575e-10,2.3652017267121833e-17,0.06596768848726184,0.0,0.00040398124865586226,1.342881899608034e-06,2.6155059684259282e-06,2.6959724774479464e-05,3.709304224613834e-06,2.954358836410261e-08,7.150880130360574e-09,2.3984722391959737e-07,1.2274032045161826e-08,4.6823403639934485e-08,1.6556619126438808e-10
3.288471234157629e-09,0.05595639656,0.054,0.0,0.0,0.0292949168586704,0.8797947909466471,3.5457734492563403e-06,1.6909695781773357e-10,2.430914939654249e-17,0.06596751794101505,0.0,0.00040677515595125935,1.3468706264651803e-06,2.6042251881469093e-06,2.7090963573258828e-05,3.739799409851444e-06,2.9608019068270987e-08,7.18273328958157e-09,2.4335899299768514e-07,1.254008164799397e-08,4.784647011624065e-08,1.708183386690538e-10
3.3115677379645656e-09,0.05595639656,0.054,0.0,0.0,0.029291964283469283,0.8797933709383194,3.5912268921830787e-06,1.753623758814617e-10,2.498060074010092e-17,0.06596734773569655,0.0,0.00040956831294262696,1.3508282394691935e-06,2.593084234656456e-06,2.722168364003873e-05,3.770446183826744e-06,2.9672219064834403e-08,7.2145446484292634e-09,2.4690633028885254e-07,1.281044590138844e-08,4.888631585551346e-08,1.7621163213046514e-10
3.334664241771502e-09,0.05595639656,0.054,0.0,0.0,0.029289012656673944,0.8797919512184764,3.6368325652974296e-06,1.8182512741395118e-10,2.5666605467464176e-17,0.06596717787032162,0.0,0.0004123607196740916,1.3547546185237936e-06,2.5820813705790103e-06,2.735188711172967e-05,3.8012431241665223e-06,2.9736199572222305e-08,7.246318977118485e-09,2.5048938685959255e-07,1.308516957661678e-08,4.994311884318248e-08,1.817491937468224e-10
3.3577607455784384e-09,0.05595639656,0.054,0.0,0.0,0.029286061979035365,0.8797905317869961,3.6825904555719517e-06,1.8849047803059316e-10,2.636740022052784e-17,0.06596700834392033,0.0,0.0004151523761654009,1.358649682510488e-06,2.5712148063774097e-06,2.7481576091033855e-05,3.832188791144196e-06,2.9799970881032455e-08,7.278060642851763e-09,2.541083108211454e-07,1.3364297482841283e-08,5.101705728693441e-08,1.874341946283296e-10
3.380857249385375e-09,0.05595639656,0.054,0.0,0.0,0.029283112251385808,0.8797891126437558,3.7285005729408917e-06,1.9536380870213868e-10,2.7083224116415555e-17,0.06596683915553567,0.0,0.00041794328241445293,1.3625133870866731e-06,2.560482707362366e-06,2.7610752648747995e-05,3.863281729711181e-06,2.986354240458335e-08,7.309773629142998e-09,2.5776324737505933e-07,1.3647874464137056e-08,5.210830960488143e-08,1.932698551565991e-10
3.4039537531923112e-09,0.05595639656,0.054,0.0,0.0,0.02928016347462766,0.8797876937886338,3.7745629478719215e-06,2.0245061753712619e-10,2.7814318750318146e-17,0.06596667030422124,0.0,0.0004207334383996836,1.3663457225273195e-06,2.5498832002979e-06,2.7739418825966662e-05,3.894520471441261e-06,2.992692272812193e-08,7.341461554886138e-09,2.6145433885858813e-07,1.3935945396620491e-08,5.321705441423987e-08,1.9925944523928438e-10
3.4270502569992476e-09,0.05595639656,0.054,0.0,0.0,0.0292772156497231,0.8797862752215074,3.8207776290731175e-06,2.0975652157338566e-10,2.856092819817706e-17,0.06596650178903965,0.0,0.0004235228440823206,1.3701467116145708e-06,2.5394143796131103e-06,2.7867576636186485e-05,3.9259035363879446e-06,2.9990119656622145e-08,7.373127693102876e-09,2.6518172478975335e-07,1.4228555185687433e-08,5.434347052051998e-08,2.0540628455993801e-10
