Time (s),Volume (m^3),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),OX(10),H2NX(28),HX(9),H3NX(29),HNX(49)
8.515894700120681e-12,0.05595639656,0.054,0.0,0.0,0.029735304631044884,0.8799994603618021,0.0,0.0,0.0,0.06599973245468795,0.0,1.0792763956123491e-06,1.7569008378807987e-07,1.7583868234794732e-07,9.178092896741038e-08,7.429927993372571e-11
9.103219391391515e-12,0.05595639656,0.054,0.0,0.0,0.029735199755782062,0.8799994231460541,0.0,0.0,0.0,0.06599971407401815,0.0,1.153707891996427e-06,1.8772036711868493e-07,1.8790177898117245e-07,9.811490878500496e-08,9.070593124372205e-11
9.69054408266235e-12,0.05595639656,0.054,0.0,0.0,0.029735094907405175,0.8799993859305699,0.0,0.0,0.0,0.06599969570699543,0.0,1.2281388602654198e-06,1.997334560293379e-07,1.9995216488775676e-07,1.0445019408948496e-07,1.0935442920938646e-10
1e-11,0.05595639656,0.054,0.0,0.0,0.029735039675121696,0.8799993663221837,0.0,0.0,0.0,0.06599968603533972,0.0,1.2673556328031746e-06,2.0605576141054497e-07,2.0629602011076094e-07,1.0778876949957651e-07,1.2012935010794312e-10
1.0277868773933183e-11,0.05595639656,0.054,0.0,0.0,0.029734990087496863,0.8799993487153498,0.0,0.0,0.0,0.06599967735441127,0.0,1.302569300559881e-06,2.1172827931191065e-07,2.1198904873370287e-07,1.1078692469220233e-07,1.3038471089605786e-10
1.0865193465204017e-11,0.05595639656,0.054,0.0,0.0,0.029734885297631415,0.8799993115003936,0.0,0.0,0.0,0.06599965901705294,0.0,1.3769992130281654e-06,2.237037716652135e-07,2.240116433787509e-07,1.1712523952815254e-07,1.539358567686255e-10
1.1452518156474851e-11,0.05595639656,0.054,0.0,0.0,0.02973478053937489,0.8799992742857011,0.0,0.0,0.0,0.06599964069570362,0.0,1.4514285978258462e-06,2.3565887358277447e-07,2.3601916579692317e-07,1.2346527667382238e-07,1.8014610707429863e-10
1.2194770489661042e-11,0.05595639656,0.054,0.0,0.0,0.029734648195062115,0.8799992272546958,0.0,0.0,0.0,0.0659996175655618,0.0,1.5454906084527303e-06,2.5073675130411977e-07,2.511713261181897e-07,1.314803994809032e-07,2.172874070348967e-10
1.2937022822847232e-11,0.05595639656,0.054,0.0,0.0,0.02973451590683503,0.8799991802241116,0.0,0.0,0.0,0.06599959446379018,0.0,1.6395517769206146e-06,2.6577827452042676e-07,2.662966131344166e-07,1.3949876596584204e-07,2.591693069948586e-10
1.3679275156033423e-11,0.05595639656,0.054,0.0,0.0,0.029734383677784235,0.8799991331939483,0.0,0.0,0.0,0.06599957139193452,0.0,1.7336121035987375e-06,2.807813543094978e-07,2.813934815954285e-07,1.47520647494139e-07,3.0606364296534924e-10
1.4421527489219614e-11,0.05595639656,0.054,0.0,0.0,0.029734251510972847,0.8799990861642056,0.0,0.0,0.0,0.06599954835152684,0.0,1.827671588874912e-06,2.9574392112136305e-07,2.964604000103357e-07,1.5554631257776012e-07,3.5823944448638505e-10
1.5163779822405806e-11,0.05595639656,0.054,0.0,0.0,0.02973411940943443,0.8799990391348834,0.0,0.0,0.0,0.06599952534408438,0.0,1.9217302331567354e-06,3.1066392622664845e-07,3.1149585167715487e-07,1.6357602666270905e-07,4.1596272525318145e-10
1.5906032155591998e-11,0.05595639656,0.054,0.0,0.0,0.029733987376172014,0.8799989921059818,0.0,0.0,0.0,0.06599950237110919,0.0,2.015788036870003e-06,3.255393423988853e-07,3.264983351701418e-07,1.7161005203557728e-07,4.794963856282515e-10
